pais,depto,municipio,mensajeria,estrato,n,exitos,tasa_cruda,wilson_lcb
GT,Sacatepequez,Magdalena Milpas Altas,CARGO,normal,12,5,41.7,19.3
GT,Sacatepequez,Magdalena Milpas Altas,FORZA,normal,4,2,50.0,15.0
GT,Sacatepequez,Pastores,CARGO,normal,3,2,66.7,20.8
GT,Sacatepequez,San Antonio Aguas Calientes,CARGO,normal,45,32,71.1,56.6
GT,Sacatepequez,San Antonio Aguas Calientes,FORZA,normal,7,6,85.7,48.7
GT,Sacatepequez,San Bartolome Milpas Altas,CARGO,normal,47,25,53.2,39.2
GT,Sacatepequez,San Bartolome Milpas Altas,FORZA,normal,4,2,50.0,15.0
GT,Sacatepequez,San Juan Alotenango,CARGO,normal,66,40,60.6,48.5
GT,Sacatepequez,San Juan Alotenango,FORZA,normal,12,6,50.0,25.4
GT,Sacatepequez,San Lucas Sacatepequez,CARGO,normal,44,27,61.4,46.6
GT,Sacatepequez,San Lucas Sacatepequez,FORZA,normal,6,4,66.7,30.0
GT,Sacatepequez,San Miguel Dueñas,CARGO,normal,4,1,25.0,4.6
GT,Sacatepequez,Santa Lucia Milpas Altas,CARGO,normal,39,24,61.5,45.9
GT,Sacatepequez,Santa Lucia Milpas Altas,FORZA,normal,8,5,62.5,30.6
GT,Sacatepequez,Santa Maria de Jesus,CARGO,normal,23,14,60.9,40.8
GT,Sacatepequez,Santa Maria de Jesus,FORZA,normal,8,4,50.0,21.5
GT,Sacatepequez,Santiago Sacatepequez,CARGO,normal,11,10,90.9,62.3
GT,Sacatepequez,Santiago Sacatepequez,FORZA,normal,3,2,66.7,20.8
GT,Sacatepequez,Santo Domingo Xenacoj,FORZA,normal,24,19,79.2,59.5
GT,Sacatepequez,Santo Domingo Xenacoj,CARGO,normal,131,77,58.8,50.2
GT,Sacatepequez,Sumpango,CARGO,normal,82,58,70.7,60.1
GT,Sacatepequez,Sumpango,FORZA,normal,9,7,77.8,45.3
GT,San Marcos,Ayutla,CARGO,normal,61,39,63.9,51.4
GT,San Marcos,Ayutla,FORZA,normal,12,6,50.0,25.4
GT,San Marcos,Catarina,CARGO,normal,148,75,50.7,42.7
GT,San Marcos,Catarina,FORZA,normal,10,6,60.0,31.3
GT,San Marcos,Comitancillo,CARGO,normal,37,28,75.7,59.9
GT,San Marcos,Comitancillo,MEG,normal,244,156,63.9,57.7
GT,San Marcos,Comitancillo,FORZA,normal,7,2,28.6,8.2
GT,San Marcos,Concepcion Tutuapa,CARGO,normal,5,4,80.0,37.6
GT,San Marcos,Concepcion Tutuapa,MEG,normal,1,1,100.0,20.7
GT,San Marcos,El Quetzal,CARGO,normal,18,10,55.6,33.7
GT,San Marcos,El Quetzal,FORZA,normal,4,2,50.0,15.0
GT,San Marcos,El Rodeo,CARGO,normal,73,40,54.8,43.4
GT,San Marcos,El Rodeo,FORZA,normal,8,5,62.5,30.6
GT,San Marcos,El Tumbador,CARGO,normal,43,25,58.1,43.3
GT,San Marcos,El Tumbador,FORZA,normal,4,0,0.0,0.0
GT,San Marcos,Esquipulas Palo Gordo,CARGO,normal,5,3,60.0,23.1
GT,San Marcos,Ixchiguan,MEG,normal,47,31,66.0,51.7
GT,San Marcos,Ixchiguan,FORZA,normal,2,2,100.0,34.2
GT,San Marcos,Ixchiguan,CARGO,normal,8,5,62.5,30.6
GT,San Marcos,La Blanca,CARGO,normal,5,5,100.0,56.6
GT,San Marcos,Malacatan,MEG,normal,14,11,78.6,52.4
GT,San Marcos,Malacatan,CARGO,normal,47,27,57.4,43.3
GT,San Marcos,Malacatan,FORZA,normal,13,4,30.8,12.7
GT,San Marcos,Nuevo Progreso,CARGO,normal,34,19,55.9,39.5
GT,San Marcos,Nuevo Progreso,FORZA,normal,7,5,71.4,35.9
GT,San Marcos,Ocos,CARGO,normal,120,74,61.7,52.7
GT,San Marcos,Ocos,FORZA,normal,21,15,71.4,50.0
GT,San Marcos,Pajapita,CARGO,normal,7,5,71.4,35.9
GT,San Marcos,Pajapita,FORZA,normal,1,0,0.0,0.0
GT,San Marcos,Rio Blanco,CARGO,normal,11,10,90.9,62.3
GT,San Marcos,Rio Blanco,FORZA,normal,1,1,100.0,20.7
GT,San Marcos,San Cristobal Cucho,MEG,normal,11,7,63.6,35.4
GT,San Marcos,San Cristobal Cucho,FORZA,normal,1,1,100.0,20.7
GT,San Marcos,San Cristobal Cucho,CARGO,normal,7,1,14.3,2.6
GT,San Marcos,San Jose Ojetenam,MEG,normal,3,2,66.7,20.8
GT,San Marcos,San Jose Ojetenam,CARGO,normal,2,1,50.0,9.5
GT,San Marcos,San Marcos,CARGO,normal,152,73,48.0,40.2
GT,San Marcos,San Marcos,FORZA,normal,15,7,46.7,24.8
GT,San Marcos,San Miguel Ixtahuacan,CARGO,normal,4,3,75.0,30.1
GT,San Marcos,San Miguel Ixtahuacan,FORZA,normal,1,1,100.0,20.7
GT,San Marcos,San Pablo,CARGO,normal,98,63,64.3,54.4
GT,San Marcos,San Pablo,FORZA,normal,6,3,50.0,18.8
GT,San Marcos,San Pedro Sacatepequez,CARGO,normal,19,10,52.6,31.7
GT,San Marcos,San Pedro Sacatepequez,FORZA,normal,3,2,66.7,20.8
GT,San Marcos,San Rafael Pie de la Cuesta,CARGO,normal,1,1,100.0,20.7
GT,San Marcos,San Rafael Pie de la Cuesta,FORZA,normal,1,1,100.0,20.7
GT,San Marcos,Sibinal,MEG,normal,44,27,61.4,46.6
GT,San Marcos,Sibinal,CARGO,normal,23,13,56.5,36.8
GT,San Marcos,Sibinal,FORZA,normal,7,2,28.6,8.2
GT,San Marcos,Sipacapa,CARGO,normal,44,29,65.9,51.1
GT,San Marcos,Sipacapa,FORZA,normal,7,2,28.6,8.2
GT,San Marcos,Tacana,MEG,normal,8,6,75.0,40.9
GT,San Marcos,Tacana,CARGO,normal,2,0,0.0,0.0
GT,San Marcos,Tajumulco,MEG,normal,181,114,63.0,55.7
GT,San Marcos,Tajumulco,CARGO,normal,43,26,60.5,45.6
GT,San Marcos,Tajumulco,FORZA,normal,5,3,60.0,23.1
GT,San Marcos,Tecun Uman,CARGO,normal,34,23,67.6,50.8
GT,San Marcos,Tecun Uman,FORZA,normal,2,1,50.0,9.5
GT,San Marcos,Tejutla,MEG,normal,30,24,80.0,62.7
GT,San Marcos,Tejutla,CARGO,normal,24,17,70.8,50.8
GT,San Marcos,Tejutla,FORZA,normal,1,0,0.0,0.0
GT,Santa Rosa,Barberena,FORZA,normal,2,1,50.0,9.5
GT,Santa Rosa,Barberena,CARGO,normal,13,3,23.1,8.2
GT,Santa Rosa,Casillas,CARGO,normal,71,47,66.2,54.6
GT,Santa Rosa,Casillas,FORZA,normal,11,8,72.7,43.4
GT,Santa Rosa,Chiquimulilla,FORZA,normal,55,42,76.4,63.7
GT,Santa Rosa,Chiquimulilla,CARGO,normal,256,148,57.8,51.7
GT,Santa Rosa,Cuilapa,CARGO,normal,8,6,75.0,40.9
GT,Santa Rosa,Guazacapan,CARGO,normal,120,64,53.3,44.4
GT,Santa Rosa,Guazacapan,FORZA,normal,31,19,61.3,43.8
GT,Santa Rosa,Nueva Santa Rosa,CARGO,normal,120,76,63.3,54.4
GT,Santa Rosa,Nueva Santa Rosa,FORZA,normal,22,11,50.0,30.7
GT,Santa Rosa,Oratorio,CARGO,normal,79,51,64.6,53.6
GT,Santa Rosa,Oratorio,FORZA,normal,22,8,36.4,19.7
GT,Santa Rosa,Pueblo Nuevo Viñas,CARGO,normal,125,81,64.8,56.1
GT,Santa Rosa,Pueblo Nuevo Viñas,FORZA,normal,29,18,62.1,44.0
GT,Santa Rosa,Santa Cruz Naranjo,CARGO,normal,22,16,72.7,51.8
GT,Santa Rosa,Santa Cruz Naranjo,FORZA,normal,8,5,62.5,30.6
GT,Santa Rosa,Santa Maria Ixhuatan,FORZA,normal,3,3,100.0,43.8
GT,Santa Rosa,Santa Maria Ixhuatan,CARGO,normal,22,14,63.6,43.0
GT,Santa Rosa,Santa Rosa de Lima,CARGO,normal,5,2,40.0,11.8
GT,Santa Rosa,Taxisco,FORZA,normal,2,2,100.0,34.2
GT,Santa Rosa,Taxisco,CARGO,normal,12,3,25.0,8.9
GT,Solola,Concepcion,FORZA,normal,4,4,100.0,51.0
GT,Solola,Concepcion,CARGO,normal,14,7,50.0,26.8
GT,Solola,Nahuala,CARGO,normal,18,13,72.2,49.1
GT,Solola,Nahuala,FORZA,normal,2,0,0.0,0.0
GT,Solola,Panajachel,CARGO,normal,43,32,74.4,59.8
GT,Solola,Panajachel,FORZA,normal,9,7,77.8,45.3
GT,Solola,San Andres Semetabaj,MEG,normal,9,7,77.8,45.3
GT,Solola,San Andres Semetabaj,FORZA,normal,1,1,100.0,20.7
GT,Solola,San Andres Semetabaj,CARGO,normal,5,1,20.0,3.6
GT,Solola,San Antonio Palopo,FORZA,normal,3,3,100.0,43.8
GT,Solola,San Antonio Palopo,CARGO,normal,14,7,50.0,26.8
GT,Solola,San Jose Chacaya,CARGO,normal,34,21,61.8,45.0
GT,Solola,San Jose Chacaya,FORZA,normal,6,5,83.3,43.6
GT,Solola,San Juan La Laguna,CARGO,normal,3,2,66.7,20.8
GT,Solola,San Juan La Laguna,FORZA,normal,1,1,100.0,20.7
GT,Solola,San Lucas Toliman,CARGO,normal,58,41,70.7,58.0
GT,Solola,San Lucas Toliman,FORZA,normal,7,3,42.9,15.8
GT,Solola,San Marcos La Laguna,CARGO,normal,14,7,50.0,26.8
GT,Solola,San Marcos La Laguna,FORZA,normal,1,1,100.0,20.7
GT,Solola,San Pablo La Laguna,CARGO,normal,27,14,51.9,34.0
GT,Solola,San Pablo La Laguna,FORZA,normal,5,2,40.0,11.8
GT,Solola,San Pedro La Laguna,CARGO,normal,18,8,44.4,24.6
GT,Solola,San Pedro La Laguna,FORZA,normal,2,1,50.0,9.5
GT,Solola,Santa Catarina Ixtahuacan,CARGO,normal,17,12,70.6,46.9
GT,Solola,Santa Catarina Ixtahuacan,FORZA,normal,3,3,100.0,43.8
GT,Solola,Santa Catarina Ixtahuacan,MEG,normal,10,6,60.0,31.3
GT,Solola,Santa Catarina Palopo,CARGO,normal,3,2,66.7,20.8
GT,Solola,Santa Clara La Laguna,CARGO,normal,14,10,71.4,45.4
GT,Solola,Santa Clara La Laguna,FORZA,normal,5,4,80.0,37.6
GT,Solola,Santa Cruz La Laguna,CARGO,normal,57,39,68.4,55.5
GT,Solola,Santa Cruz La Laguna,FORZA,normal,4,3,75.0,30.1
GT,Solola,Santa Lucia Utatlan,CARGO,normal,40,29,72.5,57.2
GT,Solola,Santa Lucia Utatlan,MEG,normal,3,3,100.0,43.8
GT,Solola,Santa Lucia Utatlan,FORZA,normal,6,5,83.3,43.6
GT,Solola,Santa Maria Visitacion,MEG,normal,5,3,60.0,23.1
GT,Solola,Santa Maria Visitacion,CARGO,normal,1,1,100.0,20.7
GT,Solola,Santiago Atitlan,CARGO,normal,167,112,67.1,59.6
GT,Solola,Santiago Atitlan,FORZA,normal,17,13,76.5,52.7
GT,Solola,Solola,CARGO,normal,219,139,63.5,56.9
GT,Solola,Solola,FORZA,normal,23,13,56.5,36.8
GT,Suchitepequez,Chicacao,CARGO,normal,772,461,59.7,56.2
GT,Suchitepequez,Chicacao,FORZA,normal,105,62,59.0,49.5
GT,Suchitepequez,Chicacao,MEG,normal,28,17,60.7,42.4
GT,Suchitepequez,Cuyotenango,CARGO,normal,7,6,85.7,48.7
GT,Suchitepequez,Cuyotenango,FORZA,normal,1,0,0.0,0.0
GT,Suchitepequez,Mazatenango,CARGO,normal,74,43,58.1,46.7
GT,Suchitepequez,Mazatenango,FORZA,normal,12,7,58.3,32.0
GT,Suchitepequez,Mazatenango,MEG,normal,1,1,100.0,20.7
GT,Suchitepequez,Patulul,CARGO,normal,316,162,51.3,45.8
GT,Suchitepequez,Patulul,FORZA,normal,41,20,48.8,34.3
GT,Suchitepequez,Pueblo Nuevo,CARGO,normal,43,22,51.2,36.8
GT,Suchitepequez,Pueblo Nuevo,MEG,normal,1,1,100.0,20.7
GT,Suchitepequez,Pueblo Nuevo,FORZA,normal,5,2,40.0,11.8
GT,Suchitepequez,Rio Bravo,CARGO,normal,35,21,60.0,43.6
GT,Suchitepequez,Rio Bravo,FORZA,normal,3,1,33.3,6.1
GT,Suchitepequez,Samayac,CARGO,normal,16,9,56.2,33.2
GT,Suchitepequez,Samayac,FORZA,normal,4,1,25.0,4.6
GT,Suchitepequez,San Antonio Suchitepequez,MEG,normal,22,15,68.2,47.3
GT,Suchitepequez,San Antonio Suchitepequez,CARGO,normal,30,15,50.0,33.2
GT,Suchitepequez,San Antonio Suchitepequez,FORZA,normal,6,3,50.0,18.8
GT,Suchitepequez,San Bernardino,CARGO,normal,26,16,61.5,42.5
GT,Suchitepequez,San Bernardino,FORZA,normal,2,1,50.0,9.5
GT,Suchitepequez,San Francisco Zapotitlan,FORZA,normal,3,3,100.0,43.8
GT,Suchitepequez,San Francisco Zapotitlan,CARGO,normal,16,7,43.8,23.1
GT,Suchitepequez,San Gabriel,CARGO,normal,68,44,64.7,52.8
GT,Suchitepequez,San Gabriel,FORZA,normal,7,6,85.7,48.7
GT,Suchitepequez,San Jose El Idolo,CARGO,normal,48,30,62.5,48.4
GT,Suchitepequez,San Jose El Idolo,FORZA,normal,13,7,53.8,29.1
GT,Suchitepequez,San Jose El Idolo,MEG,normal,1,0,0.0,0.0
GT,Suchitepequez,San Lorenzo,CARGO,normal,26,14,53.8,35.5
GT,Suchitepequez,San Lorenzo,FORZA,normal,2,2,100.0,34.2
GT,Suchitepequez,San Miguel Panan,MEG,normal,2,1,50.0,9.5
GT,Suchitepequez,San Miguel Panan,FORZA,normal,1,0,0.0,0.0
GT,Suchitepequez,San Pablo Jocopilas,CARGO,normal,92,62,67.4,57.3
GT,Suchitepequez,San Pablo Jocopilas,FORZA,normal,16,6,37.5,18.5
GT,Suchitepequez,Santa Barbara,FORZA,normal,14,9,64.3,38.8
GT,Suchitepequez,Santa Barbara,CARGO,normal,65,32,49.2,37.5
GT,Suchitepequez,Santo Domingo,FORZA,normal,38,25,65.8,49.9
GT,Suchitepequez,Santo Domingo,CARGO,normal,197,104,52.8,45.8
GT,Suchitepequez,Santo Tomas La Union,MEG,normal,28,20,71.4,52.9
GT,Suchitepequez,Santo Tomas La Union,CARGO,normal,3,3,100.0,43.8
GT,Suchitepequez,Zunilito,CARGO,normal,28,19,67.9,49.3
GT,Suchitepequez,Zunilito,FORZA,normal,1,1,100.0,20.7
GT,Totonicapan,Momostenango,CARGO,normal,181,97,53.6,46.3
GT,Totonicapan,Momostenango,FORZA,normal,16,5,31.2,14.2
GT,Totonicapan,Momostenango,MEG,normal,4,1,25.0,4.6
GT,Totonicapan,San Andres Xecul,CARGO,normal,161,106,65.8,58.2
GT,Totonicapan,San Andres Xecul,FORZA,normal,19,14,73.7,51.2
GT,Totonicapan,San Andres Xecul,MEG,normal,9,6,66.7,35.4
GT,Totonicapan,San Bartolo Aguas Calientes,MEG,normal,9,6,66.7,35.4
GT,Totonicapan,San Bartolo Aguas Calientes,CARGO,normal,1,1,100.0,20.7
GT,Totonicapan,San Bartolo Aguas Calientes,FORZA,normal,3,0,0.0,0.0
GT,Totonicapan,San Cristobal,CARGO,normal,29,23,79.3,61.6
GT,Totonicapan,San Cristobal,MEG,normal,31,20,64.5,46.9
GT,Totonicapan,San Cristobal,FORZA,normal,21,7,33.3,17.2
GT,Totonicapan,San Francisco El Alto,CARGO,normal,68,44,64.7,52.8
GT,Totonicapan,San Francisco El Alto,FORZA,normal,1,1,100.0,20.7
GT,Totonicapan,San Francisco El Alto,MEG,normal,5,2,40.0,11.8
GT,Totonicapan,Totonicapan,MEG,normal,85,56,65.9,55.3
GT,Totonicapan,Totonicapan,CARGO,normal,196,122,62.2,55.3
GT,Totonicapan,Totonicapan,FORZA,normal,33,19,57.6,40.8
GT,Zacapa,Cabañas,CARGO,normal,16,7,43.8,23.1
GT,Zacapa,Cabañas,FORZA,normal,15,5,33.3,15.2
GT,Zacapa,Gualan,CARGO,normal,369,225,61.0,55.9
GT,Zacapa,Gualan,FORZA,normal,56,28,50.0,37.3
GT,Zacapa,Huite,FORZA,normal,4,3,75.0,30.1
GT,Zacapa,Huite,CARGO,normal,3,2,66.7,20.8
GT,Zacapa,La Union,CARGO,normal,1,1,100.0,20.7
GT,Zacapa,Rio Hondo,CARGO,normal,199,119,59.8,52.9
GT,Zacapa,Rio Hondo,FORZA,normal,138,64,46.4,38.3
GT,Zacapa,San Diego,CARGO,normal,11,8,72.7,43.4
GT,Zacapa,San Diego,FORZA,normal,37,17,45.9,31.0
GT,Zacapa,Teculutan,CARGO,normal,199,127,63.8,56.9
GT,Zacapa,Teculutan,FORZA,normal,62,37,59.7,47.3
GT,Zacapa,Usumatlan,CARGO,normal,11,8,72.7,43.4
GT,Zacapa,Usumatlan,FORZA,normal,14,5,35.7,16.3
GT,Zacapa,Zacapa,CARGO,normal,507,329,64.9,60.6
GT,Zacapa,Zacapa,FORZA,normal,76,48,63.2,51.9
GT,Zacapa,Zacapa,MEG,normal,67,38,56.7,44.8
SV, Concepcion oriente, Area urbana,FORZA,normal,1,1,100.0,20.7
SV, Cuscatlan, Suchitoto,FORZA,normal,68,28,41.2,30.3
SV, La paz, Zacatecoluca,FORZA,normal,38,14,36.8,23.4
SV, San pablo tacachico, Area urbana,FORZA,normal,10,3,30.0,10.8
SV, Sonsonate, Area urbana,FORZA,normal,11,3,27.3,9.7
SV,LA UNION,MEANGUERA DEL GOLFO,FORZA,normal,19,6,31.6,15.4
SV,SAN SALVADOR,APOPA,FORZA,normal,1,1,100.0,20.7
SV,SAN VICENTE,SAN VICENTE,FORZA,normal,5,5,100.0,56.6
